date,campaign_id,campaign_name,channel,funnel_stage,spend,impressions,clicks,conversions,new_customers,revenue,gross_profit
2025-01-01,C001,Google Search - High Intent,Google Search,Conversion,1580.09,57453,2634,204.0,175.5,18268.97,10596.0
2025-01-02,C001,Google Search - High Intent,Google Search,Conversion,1242.71,48099,2163,172.0,155.1,16933.32,9821.32
2025-01-03,C001,Google Search - High Intent,Google Search,Conversion,1276.45,43112,2021,183.4,150.9,17048.56,9888.16
2025-01-04,C001,Google Search - High Intent,Google Search,Conversion,1373.88,45414,1808,149.5,123.5,14627.97,8484.22
2025-01-05,C001,Google Search - High Intent,Google Search,Conversion,1096.02,38707,1450,116.3,102.1,11256.77,6528.93
2025-01-06,C001,Google Search - High Intent,Google Search,Conversion,1398.42,48532,2089,163.1,151.3,14792.88,8579.87
2025-01-07,C001,Google Search - High Intent,Google Search,Conversion,1241.87,46770,2086,174.6,154.5,16833.94,9763.69
2025-01-08,C001,Google Search - High Intent,Google Search,Conversion,1700.96,61027,3241,235.0,215.9,22751.68,13195.98
2025-01-09,C001,Google Search - High Intent,Google Search,Conversion,1714.13,69026,3475,260.9,230.4,26073.38,15122.56
2025-01-10,C001,Google Search - High Intent,Google Search,Conversion,1223.7,45532,2127,192.5,182.0,17623.6,10221.69
2025-01-11,C001,Google Search - High Intent,Google Search,Conversion,1381.38,47982,2281,171.5,146.6,16235.93,9416.84
2025-01-12,C001,Google Search - High Intent,Google Search,Conversion,1124.93,43034,1795,140.4,127.6,11720.39,6797.83
2025-01-13,C001,Google Search - High Intent,Google Search,Conversion,1481.76,52612,2769,251.1,217.4,23490.71,13624.61
2025-01-14,C001,Google Search - High Intent,Google Search,Conversion,1319.02,51617,2334,191.7,171.7,18245.11,10582.16
2025-01-15,C001,Google Search - High Intent,Google Search,Conversion,1589.06,53083,2492,201.8,188.2,20278.53,11761.55
2025-01-16,C001,Google Search - High Intent,Google Search,Conversion,1716.78,63823,2909,273.6,240.7,27356.64,15866.85
2025-01-17,C001,Google Search - High Intent,Google Search,Conversion,1335.58,48702,1966,135.8,117.7,12239.2,7098.74
2025-01-18,C001,Google Search - High Intent,Google Search,Conversion,1327.25,54236,2365,188.1,167.2,18690.15,10840.29
2025-01-19,C001,Google Search - High Intent,Google Search,Conversion,1325.05,46742,2340,208.6,174.4,19919.63,11553.39
2025-01-20,C001,Google Search - High Intent,Google Search,Conversion,1527.5,51209,2464,191.4,176.8,18622.84,10801.25
2025-01-21,C001,Google Search - High Intent,Google Search,Conversion,1581.92,54529,2536,175.8,146.2,17306.34,10037.67
2025-01-22,C001,Google Search - High Intent,Google Search,Conversion,1437.5,54014,2169,198.1,167.1,20079.46,11646.09
2025-01-23,C001,Google Search - High Intent,Google Search,Conversion,1387.64,45193,2377,232.4,203.8,21883.97,12692.71
2025-01-24,C001,Google Search - High Intent,Google Search,Conversion,1599.86,53891,2796,224.2,196.8,20356.51,11806.77
2025-01-25,C001,Google Search - High Intent,Google Search,Conversion,1516.29,50157,2640,220.0,203.2,21140.78,12261.65
2025-01-26,C001,Google Search - High Intent,Google Search,Conversion,1460.99,51165,2287,193.7,167.3,18207.55,10560.38
2025-01-27,C001,Google Search - High Intent,Google Search,Conversion,1250.27,42542,2320,183.7,153.3,18051.78,10470.03
2025-01-28,C001,Google Search - High Intent,Google Search,Conversion,1500.68,49118,2266,180.0,145.1,18193.97,10552.5
2025-01-29,C001,Google Search - High Intent,Google Search,Conversion,1581.73,56733,2492,220.7,189.1,20978.84,12167.73
2025-01-30,C001,Google Search - High Intent,Google Search,Conversion,1683.58,55897,2963,238.4,212.8,22828.79,13240.7
2025-01-31,C001,Google Search - High Intent,Google Search,Conversion,1411.75,48906,2433,199.8,174.5,19208.79,11141.1
2025-02-01,C001,Google Search - High Intent,Google Search,Conversion,1196.88,44527,2166,188.4,154.7,19325.38,11208.72
2025-02-02,C001,Google Search - High Intent,Google Search,Conversion,1400.27,49589,2447,243.4,223.3,24927.15,14457.75
2025-02-03,C001,Google Search - High Intent,Google Search,Conversion,1479.65,57873,2431,243.8,219.9,24882.32,14431.75
2025-02-04,C001,Google Search - High Intent,Google Search,Conversion,1762.43,68807,2917,226.7,207.8,20269.12,11756.09
2025-02-05,C001,Google Search - High Intent,Google Search,Conversion,1580.92,59379,2407,179.3,159.9,17268.44,10015.7
2025-02-06,C001,Google Search - High Intent,Google Search,Conversion,1657.26,59325,2580,204.1,178.1,18301.53,10614.89
2025-02-07,C001,Google Search - High Intent,Google Search,Conversion,1196.51,44049,2059,197.3,165.2,18085.95,10489.85
2025-02-08,C001,Google Search - High Intent,Google Search,Conversion,1421.2,48127,2302,195.8,175.4,19253.6,11167.09
2025-02-09,C001,Google Search - High Intent,Google Search,Conversion,1180.83,38791,1975,180.1,158.3,15618.29,9058.61
2025-02-10,C001,Google Search - High Intent,Google Search,Conversion,1479.25,55240,2577,239.0,207.3,24877.27,14428.82
2025-02-11,C001,Google Search - High Intent,Google Search,Conversion,1444.97,45223,1997,150.9,112.9,13958.84,8096.13
2025-02-12,C001,Google Search - High Intent,Google Search,Conversion,1284.22,45995,1945,162.9,151.7,15811.5,9170.67
2025-02-13,C001,Google Search - High Intent,Google Search,Conversion,1311.19,46678,2201,219.5,198.6,21394.78,12408.97
2025-02-14,C001,Google Search - High Intent,Google Search,Conversion,1302.43,47964,2120,217.6,179.7,20684.66,11997.1
2025-02-15,C001,Google Search - High Intent,Google Search,Conversion,1256.96,41462,2275,242.2,208.3,24546.72,14237.1
2025-02-16,C001,Google Search - High Intent,Google Search,Conversion,1398.53,42698,2053,187.7,165.8,16709.08,9691.27
2025-02-17,C001,Google Search - High Intent,Google Search,Conversion,1282.18,45305,2370,225.4,198.3,24085.08,13969.35
2025-02-18,C001,Google Search - High Intent,Google Search,Conversion,1675.04,58441,2332,251.0,231.8,25697.15,14904.35
2025-02-19,C001,Google Search - High Intent,Google Search,Conversion,1662.84,59781,2865,257.0,223.9,24765.58,14364.04
2025-02-20,C001,Google Search - High Intent,Google Search,Conversion,1632.46,60279,2818,244.7,208.6,26278.2,15241.36
2025-02-21,C001,Google Search - High Intent,Google Search,Conversion,1421.35,50969,2322,191.2,167.7,19513.03,11317.55
2025-02-22,C001,Google Search - High Intent,Google Search,Conversion,1514.72,53365,2459,228.7,185.8,21596.09,12525.73
2025-02-23,C001,Google Search - High Intent,Google Search,Conversion,1416.76,53357,2340,228.0,216.6,21416.66,12421.67
2025-02-24,C001,Google Search - High Intent,Google Search,Conversion,1437.78,51942,2441,203.3,183.1,22476.04,13036.11
2025-02-25,C001,Google Search - High Intent,Google Search,Conversion,1658.48,58515,2503,237.8,196.6,21124.53,12252.23
2025-02-26,C001,Google Search - High Intent,Google Search,Conversion,1631.61,55191,2859,306.4,273.1,30571.32,17731.36
2025-02-27,C001,Google Search - High Intent,Google Search,Conversion,1374.06,48498,2161,173.6,153.1,18488.23,10723.17
2025-02-28,C001,Google Search - High Intent,Google Search,Conversion,1236.86,41746,1817,158.9,141.9,15038.3,8722.21
2025-03-01,C001,Google Search - High Intent,Google Search,Conversion,1328.76,48308,2210,226.8,201.7,21648.16,12555.93
2025-03-02,C001,Google Search - High Intent,Google Search,Conversion,1453.78,58088,2880,298.4,241.3,29432.09,17070.61
2025-03-03,C001,Google Search - High Intent,Google Search,Conversion,1622.56,53251,2703,298.9,261.1,25456.16,14764.57
2025-03-04,C001,Google Search - High Intent,Google Search,Conversion,1737.87,59590,2966,383.0,340.7,34817.68,20194.26
2025-03-05,C001,Google Search - High Intent,Google Search,Conversion,1492.98,53142,2458,225.7,199.8,19994.09,11596.57
2025-03-06,C001,Google Search - High Intent,Google Search,Conversion,1702.35,64801,3358,330.0,298.0,31387.09,18204.51
2025-03-07,C001,Google Search - High Intent,Google Search,Conversion,1231.58,43099,1802,160.7,147.2,15223.75,8829.78
2025-03-08,C001,Google Search - High Intent,Google Search,Conversion,1322.85,50171,2017,192.2,170.6,18965.07,10999.74
2025-03-09,C001,Google Search - High Intent,Google Search,Conversion,1458.98,55425,2655,242.3,203.5,24609.22,14273.35
2025-03-10,C001,Google Search - High Intent,Google Search,Conversion,1496.83,47701,2531,276.9,260.6,25875.49,15007.79
2025-03-11,C001,Google Search - High Intent,Google Search,Conversion,1658.52,55362,3269,331.0,315.4,30370.04,17614.62
2025-03-12,C001,Google Search - High Intent,Google Search,Conversion,1462.51,47248,2145,243.9,201.6,25241.68,14640.17
2025-03-13,C001,Google Search - High Intent,Google Search,Conversion,1543.63,51782,2326,229.0,201.0,21169.73,12278.44
2025-03-14,C001,Google Search - High Intent,Google Search,Conversion,1185.38,41568,1781,161.3,141.6,16475.39,9555.72
2025-03-15,C001,Google Search - High Intent,Google Search,Conversion,1294.34,46236,2050,191.5,175.9,17732.27,10284.71
2025-03-16,C001,Google Search - High Intent,Google Search,Conversion,1373.03,46795,2277,229.4,194.4,22944.54,13307.83
2025-03-17,C001,Google Search - High Intent,Google Search,Conversion,1347.63,49903,2335,215.9,189.0,20800.75,12064.44
2025-03-18,C001,Google Search - High Intent,Google Search,Conversion,1423.84,48160,2256,195.6,177.9,17412.73,10099.39
2025-03-19,C001,Google Search - High Intent,Google Search,Conversion,1627.88,57932,3008,266.1,221.8,24250.01,14065.01
2025-03-20,C001,Google Search - High Intent,Google Search,Conversion,1608.71,58777,2569,246.3,223.1,22424.43,13006.17
2025-03-21,C001,Google Search - High Intent,Google Search,Conversion,1365.1,45993,1938,166.2,160.5,15604.18,9050.43
2025-03-22,C001,Google Search - High Intent,Google Search,Conversion,1500.33,53483,2550,264.1,255.7,23573.28,13672.5
2025-03-23,C001,Google Search - High Intent,Google Search,Conversion,1113.84,37437,1560,173.2,158.8,15549.55,9018.74
2025-03-24,C001,Google Search - High Intent,Google Search,Conversion,1386.73,48483,2583,200.7,181.4,17872.37,10365.97
2025-03-25,C001,Google Search - High Intent,Google Search,Conversion,1412.15,47275,2166,191.9,160.9,20303.33,11775.93
2025-03-26,C001,Google Search - High Intent,Google Search,Conversion,1482.17,51674,2246,191.5,165.2,18342.11,10638.42
2025-03-27,C001,Google Search - High Intent,Google Search,Conversion,1586.66,56348,2394,245.1,215.2,25749.28,14934.58
2025-03-28,C001,Google Search - High Intent,Google Search,Conversion,1632.87,57840,2537,259.7,221.7,23673.1,13730.4
2025-03-29,C001,Google Search - High Intent,Google Search,Conversion,1444.79,48468,2406,245.3,218.6,23251.46,13485.85
2025-03-30,C001,Google Search - High Intent,Google Search,Conversion,1310.35,44211,2034,198.4,176.6,19039.78,11043.07
2025-03-31,C001,Google Search - High Intent,Google Search,Conversion,1321.29,47380,1973,191.2,165.8,15871.39,9205.41
2025-04-01,C001,Google Search - High Intent,Google Search,Conversion,1588.11,57234,2652,233.9,202.0,20966.28,12160.45
2025-04-02,C001,Google Search - High Intent,Google Search,Conversion,1253.88,43321,2053,167.4,149.1,16236.68,9417.28
